                                          A1                                                                                                                                                                                                     AD                  JF                                                        K1                   RT                                                                       T1    YR
251                                      聂应高                                                                                                                                                                                             湖北科技学院图书馆;              图书馆学研究                                          云计算,云服务,云平台,资源共享      Journal Article                                  国内图书情报领域“云”研究现状剖析——基于CNKI核心期刊的文献计量与内容分析  2015
252                                  樊一阳;许京京                                                                                                                                                                                            上海理工大学管理学院;                现代情报                                  石墨烯,CiteSpace,文献计量,可视化图谱      Journal Article                                          基于CiteSpace文献计量法的石墨烯研究文献可视化图谱分析  2015
253                                  鲍雪莹;赵宇翔                                                                                                                                                                               南京大学信息管理学院;南京理工大学经济管理学院;              电化教育研究                               游戏化学习,基于游戏的学习,游戏化,文献计量,综述评价      Journal Article                                                            游戏化学习的研究进展及展望  2015
254                                   陈萱;黄春娟                                                                                                                                                                                                南京工业大学;            大学图书情报学刊                          知识可视化,文献计量,知识图谱分析,知识服务,知识可视化心理认知      Journal Article                            国外知识可视化研究的现状与启示——基于Citespace和Vosviewer的知识图谱分析  2015
255                                   撒凯悦;沈君                                                                                                                                                                                           山东大学(威海)商学院;               经济学动态                                          世界经济,文献计量,共词聚类分析      Journal Article                                  世界经济研究领域前沿动态研究——基于2000年以来CNKI数据库的文献计量分析  2015
256                                  刘月雷;聂峰英                                                                                                                                                                                           南京信息工程大学图书馆;                现代情报                                             ESI,地球科学,文献计量      Journal Article                                                  基于ESI数据库的地球科学领域文献计量分析研究  2015
257                                  丁志健;王焕景                                                                                                                                                                                            曲阜师范大学传媒学院;            图书馆工作与研究                                 高校图书馆,知识服务,文献计量,共词分析,主题分析      Journal Article                                                 基于文献计量的国内高校图书馆知识服务研究现状评析  2015
258                                曲昭;丁堃;张春博                                                                                                                                                                       大连理工大学科学学与科学技术管理研究所暨WISE Lab实验室;             科技进步与对策                                            科技金融,政策研究,文献计量      Journal Article                                                        基于文献计量视角的科技金融政策研究  2015
259                                  张志安;贾鹤鹏                                                                                                                                                                               中山大学传播与设计学院;美国康奈尔大学传播学系;             新闻与传播研究                                 新闻传播学,国际发表,SSCI,文献计量,传播理论      Journal Article                                        中国新闻传播学研究的国际发表现状与格局——基于SSCI数据库的研究  2015
260                                  朱晋伟;胡万梅                                                                                                                                                                                               江南大学商学院;                技术经济                                            创业研究,文献计量,知识图谱      Journal Article                                         国际创业研究的热点和趋势——基于SSCI的文献计量和知识图谱分析  2015
261                       李珊珊;张文毓;孙长虹;张楠;薛念涛                                                                                                                                                                       北京市环境保护科学研究院污染场地风险模拟与修复北京市重点实验室;                环境工程                                           文献计量,土壤修复,现状,趋势      Journal Article                                                     基于文献计量分析土壤修复的研究现状与趋势  2015
262                                  王硕旺;褚照锋                                                                                                                                                                                              河北大学教育学院;              中国高教研究                                   《中国高教研究》,文献计量,知识图谱,研究热点      Journal Article                                    《中国高教研究》30年载文的文献计量和知识图谱分析(1985—2014年)  2015
263                                       林萍                                                                                                                                                                                                                                                             医学期刊,文献计量,来源指标,引用指标,发展特征  Dissertation/Thesis                                                      我国医药卫生类核心期刊的文献计量学分析  2015
264                            张春博;丁堃;曲昭;刘则渊                                                                                                                                                                       大连理工大学科学学与科学技术管理研究所暨WISE Lab实验室;             科技进步与对策                                   创新驱动,科技创新,经济发展方式转变,产业升级      Journal Article                                                        基于文献计量的我国创新驱动研究述评  2015
265                                 黄萃;任弢;张剑                                                                                                                                                                               清华大学公共管理学院;中央财经大学政府管理学院;              公共管理学报                                        政策文献量化研究,概念界定,研究范式      Journal Article                                                      政策文献量化研究:公共政策研究的新方向  2015
266                        钟赛香;袁甜;苏香燕;胡鹏;薛熙明                                                                                                                                                             武汉大学资源与环境科学学院;武汉大学数学与统计学院;西南民族大学旅游与历史文化学院;                地理学报                                  SSCI,人文地理,文献计量,发展趋势,网络分析      Journal Article                              百年SSCI看国际人文地理学的发展特点与规律——基于73种人文地理类期刊的文献计量分析  2015
267                            郭宇;王晰巍;贺伟;杨梦晴                                                                                                                                                                                      吉林大学管理学院;吉林大学图书馆;                情报科学                                        文献计量,知识图谱,可视化,低碳技术      Journal Article                                           基于文献计量和知识图谱可视化方法的国内外低碳技术发展动态研究  2015
268                             王文平;刘云;何颖;谭龙                                                                                                                                                                           北京理工大学管理与经济学院;中国电子信息产业发展研究院;                科研管理                            国际科技合作,跨学科研究,文献计量,SCI论文,国际合著论文      Journal Article                                        国际科技合作对跨学科研究影响的评价研究——基于文献计量学分析的视角  2015
269                                孙宇;高敏;石永玮                                                                                                                                                                                          北京师范大学政府管理学院;                电子政务                             电子政务,文献计量,共词网络,Citespace,对比研究      Journal Article                                                  热点及变迁:十余年来中外电子政务研究的比较分析  2015
270                                      顾立平                                                                                                                                                                                          中国科学院国家科学图书馆;             中国图书馆学报            文献计量,科学计量,信息计量,网络计量,替代计量,数据级别计量,数据共享,数据引用,数据发布      Journal Article                                                        数据级别计量——概念辨析与实践进展  2015
271                          胡小洋;李小涛;余厚强;邱均平                                                                                                                                                        武汉大学中国科学评价研究中心;湖北大学学报编辑部;武汉大学信息管理学院;中国科学评价研究中心;              图书馆学研究                             信息可视化,多学科,知识结构,空间分布,时间演进,聚类分析      Journal Article                       “信息可视化”主题下的多学科知识结构探究——基于2004~2013年WoS数据库的文献计量和内容分析  2015
272                         刘云;蒋海军;樊威;闫哲;叶选挺                                                                                                                                                                              北京理工大学管理与经济学院;清华大学公共管理学院;                科研管理                                  纳米科技,国际合作,网络结构,演化特征,文献计量      Journal Article                                                    纳米科技国际合作创新网络结构与演化特征研究  2015
273                              张定强;蒋会兵;蔡娟娥                                                                                                                                                                                            西北师范大学教育学院;              数学教育学报                         少数民族数学教育,CNKI期刊数据,文献计量,统计分析,回顾与展望      Journal Article                              中国少数民族数学教育研究的回顾与展望——基于1993—2013年CNKI期刊数据的分析  2015
274                              郑淑芬;朱玉奴;缪家鼎                                                                                                                                                                                               浙江大学图书馆;               图书馆杂志                               高校图书馆,专利服务,文献计量,词频分析法,共词分析法      Journal Article                                          高校图书馆视角下的专利服务工作思考——基于文献计量和可视化分析  2015
275                           苏志强;徐苏颖;张程亮;黄锐                                                                                                                                       广州中医药大学第一附属医院药学部;湖北省肿瘤医院药剂科;华中科技大学同济医学院附属同济医院药学部;华中科技大学同济医学院药学院;            中国医院药学杂志                                          基层医疗机构,临床药学,文献计量      Journal Article                                                我国基层医疗机构临床药学工作开展情况的文献计量分析  2015
276                                  罗润东;徐丹丹                                                                                                                                                                                           山东大学(威海)商学院;               经济学动态                                            政治经济学,文献计量,可视化      Journal Article                                我国政治经济学研究领域前沿动态追踪——对2000年以来CNKI数据库的文献计量分析  2015
277                        张灿;王兴民;邱宝利;戈峰;任顺祥                                                                                                                                                华南农业大学昆虫学系/生物防治教育部工程研究中心;中国科学院动物研究所 农业虫鼠害综合治理研究国家重点实验室;              应用昆虫学报                                         烟粉虱,文献计量,现状,趋势,起源      Journal Article                                                              烟粉虱热点问题研究进展  2015
278                  刘圣恩;林开敏;郑文辉;蔡锰柯;林思祖;马祥庆                                                                                                                                                                             福建农林大学林学院;国家林业局杉木工程技术研究中心;             森林与环境学报                      杉木,文献计量,CNKI数据库,Web of Science TM数据库      Journal Article                                                             杉木研究科技文献计量分析  2015
279                                      赵伶俐                                                                                                                                                                             中国农业科学院农业信息研究所《中国农业科学》编辑部;              中国农学通报                                              蔬菜,农药残留,文献计量      Journal Article                                                    基于文献计量分析中国蔬菜农药残留的研究概况  2015
280                                      温芳芳                                                                                                                                                                                            河南科技大学管理学院;                情报杂志                    校企合作,科研合作,专利计量,专利合作,协同创新,社会网络分析,多维尺度分析      Journal Article                                                    基于专利文献计量的我国校企科研合作现状分析  2014
281                 程辉;吴胜军;王小晓;姜毅;陈春娣;王雨;吕明权                                                                                                                                                              中国科学院重庆绿色智能技术研究院;中国科学院水库水环境重点实验室;中国科学院大学;            中国生态农业学报              三峡库区,生态环境效应,文献计量,土地利用变化,生态环境因子,生态环境质量,生态系统服务      Journal Article                                                           三峡库区生态环境效应研究进展  2015
282                              李思志;李佳骏;李艳红                                                                                                                                                                             上海财经大学商学院;上海财经大学信息管理与工程学院;              中国管理科学                                  特征抽取,引文分析,共引分析,知识图谱,创新轨迹      Journal Article                                    管理科学与工程领域的创新轨迹研究——基于TOP期刊的文献计量和文本挖掘视角  2014
283                          戴湘毅;唐承财;刘家明;朱爱琴                                                                                                                                       首都师范大学资源环境与旅游学院;中国科学院地理科学与资源研究所;北京第二外国语学院旅游管理学院;华中师范大学城市与环境科学学院;                旅游学刊                                         遗产旅游,研究态势,文献计量,中国      Journal Article                                               中国遗产旅游的研究态势——基于核心期刊的文献计量分析  2014
284                               贾泽军;尹茶;邓晓群                                                                                                                                                                                         《第二军医大学学报》编辑部;               科技与出版                                              媒体融合,中国,文献计量      Journal Article                                                        中国媒体融合研究现况分析及对策研究  2014
285                                   储节旺;钱倩                                                                                                                                                                                              安徽大学管理学院;                情报科学                                      知识管理,词频分析法,研究方法,文献计量      Journal Article                                                基于词频分析的近10年知识管理的研究热点及研究方法  2014
286                                      文庭孝                                                                                                                                                                                             中南大学医药信息系;              图书情报知识                                  专利计量,文献计量,科学计量,知识计量,专利分析      Journal Article                                                               专利信息计量研究综述  2014
287                           李秋云;韩国圣;张爱平;徐虹                                                                                                                                                       南开大学旅游与服务学院;山东大学(威海)商学院;中国科学院地理科学与资源研究所;中国科学院大学;                旅游学刊                                         中国旅游地理学,文献计量,内容分析      Journal Article                                               1979～2012年中国旅游地理学文献计量与内容分析  2014
288                        钟赛香;曲波;苏香燕;毛鹏;游细斌                                                                                                                                                                           武汉大学资源与环境科学学院;赣南师范学院地理与规划学院;                地理学报                                地理学报,文献计量,知识生产,发展态势,网络关系分析      Journal Article                                          从《地理学报》看中国地理学研究的特点与趋势——基于文献计量方法  2014
289                                   李杰;郭晓宏                                                                                                                                                                  首都经济贸易大学安全与环境工程学院;斯泰恩拜斯大学高级风险技术转移研究院;     武汉理工大学学报(社会科学版)                                       安全文化,安全氛围,知识图谱,文献计量      Journal Article                                                            安全文化研究的科学知识图谱  2014
290                                      陈新民                                                                                                                                                                                                浙江树人大学;            高等工程教育研究                                高等工程教育,研究现状,文献计量,知识图谱,卓越计划      Journal Article                                我国高等工程教育的研究现状(2008~2012)——基于近五年的文献计量和内容分析  2014
291                                  刘泽照;朱正威                                                                                                                                                                                       西安交通大学公共政策与管理学院;              公共管理学报                                    风险,风险治理,知识图谱,文献计量,共词分析      Journal Article                          公共管理视域下风险及治理研究图谱与主题脉系——基于国际SSCI的计量分析(1965—2013)  2014
292                              童文胜;王建成;曾润喜                                                                                                                                                                                          华中科技大学公共管理学院;                情报杂志                                         网络谣言,谣言,CNKI,文献计量      Journal Article                                 我国网络谣言研究议题与内容文献分析——以CNKI数据库2002-2013年为样本  2014
293                                  薛晓丽;武夷山                                                                                                                                                                                           中国科学技术信息研究所;                情报杂志                                       跨学科研究,文献计量,共现网络,可视化      Journal Article                                                         跨学科研究的文献计量及可视化分析  2014
294                               李贺;袁翠敏;李亚峰                                                                                                                                                                                              吉林大学管理学院;                情报科学                                大数据,Web of Science,文献计量,综述      Journal Article                                                           基于文献计量的大数据研究综述  2014
295                                李娜;卢青;戎文慧                                                                                                                                                                                      白求恩医务士官学校;上饶师范学院;          中华医学图书情报杂志                                   医闹,医疗纠纷,医患关系,群体性事件,文献计量      Journal Article                                            2006-2013年“医闹”类群体性事件研究论文的调查分析  2014
296                                       谢丽                                                                                                                                                                                                                                                     学前儿童心理学,计量分析,共词分析,知识图谱,热点领域,前沿主题  Dissertation/Thesis                                       我国学前儿童心理学研究的文献计量及可视化分析（1993-2013年）  2014
297                                   王飒;包丽颖                                                                                                                                                                                             北京理工大学图书馆;                情报科学                                       共词分析,文献计量,关键文献,引文分析      Journal Article                                                       基于文献计量的共词分析方法及应用述评  2014
298                                  李宗彦;章之旺                                                                                                                                                                              浙江财经大学会计学院;南京审计学院审计与会计学院;             会计与经济研究                               内部审计研究,SSCI,CSSCI,文献计量,内容分析      Journal Article                                      内部审计研究:1998-2012——基于SSCI、CSSCI的文献分析  2014
299                                      薛念涛                                                                                                                                                                 北京市环境保护科学研究院,国家环境保护工业废水污染控制工程技术(北京)中心;            农业环境科学学报                                      文献计量,畜禽污染,畜禽粪便,现状,趋势      Journal Article                                                       畜禽污染防治现状与趋势的文献计量分析  2014
300                           黄先涛;武雪亮;薛军;杨立民                                                                                                                                                                                       河北北方学院附属第一医院医务部;                中国病案                                       文献计量,理论研究,临床路径,回顾分析      Journal Article                                                              临床路径文献回顾性分析  2014
301                  高懋芳;邱建军;刘三超;刘宏斌;王立刚;逄焕成                                                                                                                        中国农业科学院农业资源与农业区划研究所/农业部面源污染控制重点实验室;中国农业科学院-美国新罕布什尔大学可持续农业生态系统研究联合实验室;民政部国家减灾中心;              中国农业科学                           非点源污染,文献计量,发展趋势,CNKI数据库,SCIE数据库      Journal Article                                                    基于文献计量的农业面源污染研究发展态势分析  2014
302                        周晓艳;张文妍;叶信岳;甘甜;韩项                                                                                                                                                                             武汉大学资源与环境科学学院;美国肯特州立大学地理系;              地理科学进展                                  生态足迹,SCIE/SSCI,文献计量,发展趋势      Journal Article                                                 1992-2012年国际生态足迹研究文献计量分析  2014
303                              袭著燕;迟考勋;杨阜城                                                                                                                                                                           山东省科技发展战略研究所;山东省科技创新软科学研究基地;             科技进步与对策                                   区域科技创新,政策设计,科技创新政策,文献计量      Journal Article                              区域科技创新政策设计理论框架构建——基于山东省文件(2000-2012)的文献计量分析  2014
304                            魏敏;肖锦铖;杨善发;吕震                                                                                                                                                                             安徽医科大学卫生管理学院;安徽医科大学公共卫生学院;               医学与社会                                       就医行为,影响因素,文献计量,农村居民      Journal Article                                           2003-2013年农村居民就医行为相关影响因素文献计量分析  2014
305                                   李贺;张世颖                                                                                                                                                                                吉林大学管理学院信息管理系;吉林大学管理学院;              图书情报工作                                网络,用户,信息需求,文献计量,可视化分析,定性分析      Journal Article                                                          国内外网络用户信息需求研究综述  2014
306                                刘成新;张松;苌雨                                                                                                                                                                                       曲阜师范大学信息技术与传播学院;              电化教育研究                                      云计算,研究现状,文献计量,社会网络分析      Journal Article                                                        我国教育技术领域云计算研究现状述评  2014
307                                    杨栋;张蕊                                                                                                                                                                                                天津科技大学;              科技管理研究                                     人力资源管理,绩效管理,文献计量,内容分析      Journal Article                                                   企业人力资源绩效管理实践中的创新障碍研究综述  2014
308                                    唐震;李芳                                                                                                                                                                                               河海大学商学院;                情报杂志                                科技金融,金融创新,科技体制改革,自主创新,文献计量      Journal Article                                                        我国科技金融研究现状的文献计量分析  2014
309                                   赵俊芳;姜帆                                                                                                                                                                                           吉林大学高等教育研究所;              大学教育科学                                  《现代大学教育》,研究热点,知识图谱,文献计量学      Journal Article                                                   《现代大学教育》的文献计量与科学知识图谱研究  2014
310                               滕广青;牟冬梅;任晶                                                                                                                                                              东北师范大学计算机科学与信息技术学院;吉林大学公共卫生学院;长春中医药大学图书馆;              情报资料工作                                社会网络分析,文献计量,合作关系,引用关系,知识关系      Journal Article                                                     国外社会网络分析在文献计量领域的应用研究  2014
311                            赵飞;艾春艳;游越;刘素清                                                                                                                                                                                               北京大学图书馆;             大学图书馆学报                                            学科评估,科研评估,文献计量      Journal Article                                     基于文献计量开展高校科研评估的探索与思考——以北京大学科研竞争力评估为例  2014
312                               罗润东;沈君;徐丹丹                                                                                                                                                                                     山东大学劳动经济与人力资源研究中心;               经济学动态                                          劳动经济,文献计量,共词聚类分析      Journal Article                                               劳动经济理论研究前沿文献分析——基于文献计量分析视角  2014
313                                   张媛;蔡建东                                                                                                                                                                                           河南大学现代教育研究所;              学前教育研究                                    学前教育,学前教育研究,文献计量,信息可视化      Journal Article                                           中国学前教育研究二十年——基于《学前教育研究》的文献计量分析  2014
314                       陈凌云;胡勇斌;卢伟民;俞能宝;傅强                                                                                                                                                                                          江苏扬州市中医院关节外科;            中国组织工程研究      骨关节植入物,骨与关节学术探讨,复位,外固定支架,桡骨远端骨折,石膏,小夹板,外固定架,腕关节,文献计量      Journal Article                                                      外固定支架结合手法复位治疗桡骨远端骨折  2013
315                           孙雨生;仇蓉蓉;黄传慧;方芳                                                                                                                                                                                            湖北工业大学管理学院;                情报杂志                    数字图书馆,个性化服务,文献计量,社会网络,个性化检索,个性化推荐,用户建模      Journal Article                                               国内数字图书馆个性化服务研究进展:研究力量和知识基础  2013
316                                      顾立平                                                                                                                                                                                          中国科学院国家科学图书馆;            现代图书情报技术                 替代计量,学术可见度,社会可见度,科研影响指标,信息过滤,知识发现,科学公共图书馆      Journal Article                                                          论文级别计量研究:应用案例分析  2013
317           范爱红;战玉华;杨芳;董琳;贺维平;钱俊雯;毕琳;孟颖;焦阳                                                                                                                                                                                       清华大学图书馆;清华大学科研院;                情报杂志                              文献计量,国际合著,论文影响力指标,研究型大学,科研管理      Journal Article                                                      国内外研究型大学国际合著论文的比较研究  2013
318                                   花芳;冯玉林                                                                                                                                                                                     清华大学图书馆;清华大学工程物理系;            中国科技期刊研究                         科技期刊,国际化,定量评价指标,国际论文比,国际被引用率,文献计量      Journal Article                                                           期刊国际化程度的量化指标研究  2013
319                               沈小玲;徐勇;严卫中                                                                                                                                                              安徽财经大学图书馆;安徽财经大学管理科学与工程学院;美国通用电气公司全球研发中心;              图书情报工作                             综合评价,网络科技论文,学术影响力,同行评价指标,相对指标      Journal Article                                                 基于网络文献计量的科技论文学术影响力综合评价研究  2013
320                              朱毅华;郭诗云;张超群                                                                                                                                                                                       南京农业大学信息科学与技术学院;                情报杂志                                       网络舆情,舆情演化,文献计量,仿真平台      Journal Article                                                         网络舆情研究中的仿真方法应用综述  2013
321                                   陈巧云;李艺                                                                                                                                                                                          南京师范大学教育科学学院;              开放教育研究                      教育技术,共词分析,文献计量,聚类分析,因子分析,社会网络分析,研究热点      Journal Article                                         中国教育技术学三十年研究热点与趋势——基于共词分析和文献计量方法  2013
322                                      王正晶                                                                                                                                                                                            四川大学公共管理学院;                情报科学                                 文献计量,NoteExpress,情报学,统计分析      Journal Article                                NoteExpresss实现文献计量分析的方法——以五种情报学核心期刊统计分析为例  2013
323                                       周霞                                                                                                                                                                       中国社会科学院图书馆;中国社会科学院文献计量与科学评价研究中心;              情报资料工作                              国家社会科学基金,基金论文,社会学,学术影响力,文献计量      Journal Article                                          国家社科基金论文产出与影响力分析——以2012年社会学论文为例  2013
324                            艾春艳;赵飞;游越;刘素清                                                                                                                                                                                          北京大学图书馆信息咨询部;             大学图书馆学报                                           科研竞争力评估,文献计量,院系      Journal Article                                                       基于机构决策的科研竞争力评估方法初探  2013
325                            方杰;邱皓政;张敏强;方路                                                                                                                                                广东财经大学人文与传播学院;华南师范大学心理学院/心理应用研究中心;台湾师范大学管理学院;内江师范学院图书馆;                心理科学                                          多层线性模型,文献计量,内容分析      Journal Article                                                   我国近十年来心理学研究中HLM方法的应用述评  2013
326                              范少萍;李迎迎;张志强                                                                                                                                              中国科学院国家科学图书馆兰州分馆/中国科学院资源环境科学信息中心;中国科学院大学;曲阜师范大学信息技术与传播学院;                情报杂志                                  共词分析,文献计量,学科分布,被引分析,作者分布      Journal Article                                                         国内外共词分析研究的文献计量分析  2013
327                               魏一鸣;米志付;张皓                                                                                                                                                                       北京理工大学能源与环境政策研究中心;北京理工大学管理与经济学院;              地球科学进展                                     气候政策,综合评估模型,文献计量,词频分析      Journal Article                                                      气候政策建模研究综述:基于文献计量分析  2013
328                                周金元;刘兵;唐青                                                                                                                                                                                  江苏大学科技信息研究所;江苏大学管理学院;              科技管理研究                                 胜任力,共词分析法,内容分析法,知识图谱,文献计量      Journal Article                                                      基于文献计量分析的国内外胜任力研究述评  2013
329                                  陈福集;黄江玲                                                                                                                                                                                            福州大学公共管理学院;                情报杂志                                            网络舆情,舆情演变,文献计量      Journal Article                                                           我国网络舆情演变文献研究综述  2013
