                                          A1                                                                                                                                                                                                     AD                  JF                                                        K1                   RT                                                                       T1    YR
41                                   曹玲静;陈云伟                                                                                                                                                   中国科学院成都文献情报中心科学计量与科技评价研究中心;中国科学院大学经济与管理学院图书情报与档案管理系;                情报杂志                                  学科交叉,交叉学科,文献计量,评价指标,测度指标      Journal Article                                                             学科交叉评价研究进展综述  2020
42                           孙然好;魏琳沅;张海萍;陈利顶                                                                                                                                                                   中国科学院生态环境研究中心城市与区域生态国家重点实验室;中国科学院大学;                生态学报                                  河流健康,健康评估,文献计量,指标体系,生态服务      Journal Article                                                河流生态系统健康研究现状与展望——基于文献计量研究  2020
43                            巩杰;燕玲玲;徐彩仙;郭青海                                                                                                                                                     兰州大学资源环境学院/西部环境教育部重点实验室;浙江理工大学建筑工程学院;中国科学院城市环境研究所;                生态学报                               生态系统服务,文献计量,对比分析,中国,美国,研究热点      Journal Article                                          近30年来中美生态系统服务研究热点对比分析——基于文献计量研究  2020
44                                 荆文君;何毅;刘航                                                                                                                                                                           山西财经大学经济学院;中央财经大学中国互联网经济研究院;            山西财经大学学报                               互联网经济,互联网经济学,实践发展,研究演进,文献计量      Journal Article                                              中国互联网经济与互联网经济学20年：1998—2018  2020
45                                   童文胜;易柏慧                                                                                                                                                                                          华中科技大学公共管理学院;                情报杂志                                  网络谣言,网络辟谣,辟谣模式,辟谣机制,文献计量      Journal Article                                                       网络辟谣:国内研究进展与理论分析框架  2020
46                                     吴隽;徐迪                                                                                                                                                                                   华侨大学工商管理学院;厦门大学管理学院;                经济管理                                         供应链管理,低碳,碳排放,文献计量      Journal Article                                                       基于文献计量的低碳供应链管理研究述评  2020
47                                    程平;王立宇                                                                                                                                                                          重庆理工大学会计学院;重庆理工大学云会计大数据智能研究所;                会计之友                                             区块链,知识图谱,文献计量      Journal Article                                                     国内外区块链技术发展与大会计应用动态研究  2020
48                                翁宇威;蔡闻佳;王灿                                                                                                                       清华大学地球系统科学系地球系统数值模拟教育部重点实验室;清华大学中国新型城镇化研究院健康城市研究中心;清华-力拓资源能源与可持续发展研究中心;清华大学环境学院;            气候变化研究进展                             气候变化,共享社会经济路径(SSPs),情景应用,文献计量      Journal Article                                                     共享社会经济路径(SSPs)的应用与展望  2020
49                       姜尚荣;乔晗;张思;刘颖;胡毅;徐艳梅                                                                                                                                                                                        中国科学院大学经济与管理学院;                管理评论                                       价值共创,生态系统,商业模式,文献计量      Journal Article                                                     价值共创研究前沿:生态系统和商业模式创新  2020
50                                    熊励;叶凯雯                                                                                                                                                                                              上海大学管理学院;                 软科学                              跨境电商生态,跨境电商政策,政策组合,政策工具,文献计量      Journal Article                                                  跨境电子商务生态发展与政策组合维度的关联性研究  2020
51                                    朱婷婷;何源                                                                                                                                                                                         南京医科大学马克思主义学院;     南京医科大学学报(社会科学版)                                      计划行为理论,文献计量,可视化分析,热点      Journal Article                                                    近十年国内外计划行为理论应用现状及热点分析  2020
52                               闫淑兰;赵秀红;罗启仕                                                                                                                                                                              永清环保股份有限公司;永仕达环境(上海)有限公司;            农业环境科学学报                                         文献计量,固化稳定化,重金属,土壤      Journal Article                                                基于文献计量的重金属固化稳定化修复技术发展动态研究  2020
